"Modalite","Effectif","Pourcentage"
"0.05",1,"0.2%"
"0.5",43,"7.7%"
"0.6",24,"4.3%"
"0.7",1,"0.2%"
"0.8",34,"6.1%"
"0.9",4,"0.7%"
"1",449,"80.8%"
